image,annotation,problem,original_value,action
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0503.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0503.xml,box_outside_image_bounds,"[2,593,767,1081]","clipped to frame [2,593,767,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0507.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0507.xml,box_outside_image_bounds,"[1060,796,1675,1081]","clipped to frame [1060,796,1675,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0508.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0508.xml,box_outside_image_bounds,"[628,554,998,1081]","clipped to frame [628,554,998,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0512.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0512.xml,box_outside_image_bounds,"[1256,545,1921,1077]","clipped to frame [1256,545,1920,1077]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0513.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0513.xml,box_outside_image_bounds,"[1717,144,1921,271]","clipped to frame [1717,144,1920,271]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0513.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0513.xml,box_outside_image_bounds,"[630,1002,766,1081]","clipped to frame [630,1002,766,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0514.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0514.xml,box_outside_image_bounds,"[659,603,1529,1081]","clipped to frame [659,603,1529,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0514.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0514.xml,box_outside_image_bounds,"[1536,766,1916,1081]","clipped to frame [1536,766,1916,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0515.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0515.xml,box_outside_image_bounds,"[1637,244,1921,330]","clipped to frame [1637,244,1920,330]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0516.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0516.xml,box_outside_image_bounds,"[1560,646,1921,821]","clipped to frame [1560,646,1920,821]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0516.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0516.xml,box_outside_image_bounds,"[1272,780,1921,1078]","clipped to frame [1272,780,1920,1078]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0517.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0517.xml,box_outside_image_bounds,"[2,490,904,1081]","clipped to frame [2,490,904,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0517.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0517.xml,box_outside_image_bounds,"[904,740,1919,1081]","clipped to frame [904,740,1919,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0517.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0517.xml,box_outside_image_bounds,"[1750,566,1921,714]","clipped to frame [1750,566,1920,714]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0518.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0518.xml,box_outside_image_bounds,"[442,859,685,1081]","clipped to frame [442,859,685,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0518.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0518.xml,box_outside_image_bounds,"[693,912,945,1081]","clipped to frame [693,912,945,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0518.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0518.xml,box_outside_image_bounds,"[1729,251,1921,316]","clipped to frame [1729,251,1920,316]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0519.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0519.xml,box_outside_image_bounds,"[1287,689,1921,1080]","clipped to frame [1287,689,1920,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0521.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0521.xml,box_outside_image_bounds,"[620,1000,752,1081]","clipped to frame [620,1000,752,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0521.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0521.xml,box_outside_image_bounds,"[1693,138,1921,253]","clipped to frame [1693,138,1920,253]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0522.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0522.xml,box_outside_image_bounds,"[986,758,1648,1081]","clipped to frame [986,758,1648,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0523.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0523.xml,box_outside_image_bounds,"[1666,557,1921,1077]","clipped to frame [1666,557,1920,1077]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0523.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0523.xml,box_outside_image_bounds,"[777,627,1667,1081]","clipped to frame [777,627,1667,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0523.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0523.xml,box_outside_image_bounds,"[3,483,778,1081]","clipped to frame [3,483,778,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0525.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0525.xml,box_outside_image_bounds,"[1200,555,1921,1046]","clipped to frame [1200,555,1920,1046]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0526.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0526.xml,box_outside_image_bounds,"[1657,133,1921,352]","clipped to frame [1657,133,1920,352]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0526.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0526.xml,box_outside_image_bounds,"[560,1011,701,1081]","clipped to frame [560,1011,701,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0528.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0528.xml,box_outside_image_bounds,"[553,863,996,1081]","clipped to frame [553,863,996,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0529.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0529.xml,box_outside_image_bounds,"[1253,690,1921,1078]","clipped to frame [1253,690,1920,1078]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0530.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0530.xml,box_outside_image_bounds,"[1379,523,1920,1081]","clipped to frame [1379,523,1920,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0531.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0531.xml,box_outside_image_bounds,"[1256,726,1920,1081]","clipped to frame [1256,726,1920,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0532.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0532.xml,box_outside_image_bounds,"[1606,124,1921,341]","clipped to frame [1606,124,1920,341]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0533.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0533.xml,box_outside_image_bounds,"[1025,755,1678,1081]","clipped to frame [1025,755,1678,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0534.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0534.xml,box_outside_image_bounds,"[1682,562,1919,1081]","clipped to frame [1682,562,1919,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0534.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0534.xml,box_outside_image_bounds,"[2,471,1682,1081]","clipped to frame [2,471,1682,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0535.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0535.xml,box_outside_image_bounds,"[1333,817,1920,1081]","clipped to frame [1333,817,1920,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0536.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0536.xml,box_outside_image_bounds,"[1381,519,1921,1076]","clipped to frame [1381,519,1920,1076]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0537.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0537.xml,box_outside_image_bounds,"[1587,562,1918,1081]","clipped to frame [1587,562,1918,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0538.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0538.xml,box_outside_image_bounds,"[659,977,962,1081]","clipped to frame [659,977,962,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0538.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0538.xml,box_outside_image_bounds,"[292,975,641,1081]","clipped to frame [292,975,641,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0539.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0539.xml,box_outside_image_bounds,"[1306,516,1921,995]","clipped to frame [1306,516,1920,995]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0540.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0540.xml,box_outside_image_bounds,"[1150,886,1655,1081]","clipped to frame [1150,886,1655,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0541.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0541.xml,box_outside_image_bounds,"[5,552,1921,1080]","clipped to frame [5,552,1920,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0542.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0542.xml,box_outside_image_bounds,"[660,868,959,1081]","clipped to frame [660,868,959,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0544.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0544.xml,box_outside_image_bounds,"[992,885,1538,1081]","clipped to frame [992,885,1538,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0545.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0545.xml,box_outside_image_bounds,"[3,589,1921,1076]","clipped to frame [3,589,1920,1076]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0546.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0546.xml,box_outside_image_bounds,"[1534,796,1921,1077]","clipped to frame [1534,796,1920,1077]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0547.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0547.xml,box_outside_image_bounds,"[894,898,1480,1081]","clipped to frame [894,898,1480,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0547.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0547.xml,box_outside_image_bounds,"[1472,761,1642,1081]","clipped to frame [1472,761,1642,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0548.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0548.xml,box_outside_image_bounds,"[5,711,1921,1079]","clipped to frame [5,711,1920,1079]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0549.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0549.xml,box_outside_image_bounds,"[1235,496,1903,1081]","clipped to frame [1235,496,1903,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0550.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0550.xml,box_outside_image_bounds,"[1570,676,1921,791]","clipped to frame [1570,676,1920,791]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0552.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0552.xml,box_outside_image_bounds,"[1829,442,1921,565]","clipped to frame [1829,442,1920,565]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0553.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0553.xml,box_outside_image_bounds,"[906,740,1622,1081]","clipped to frame [906,740,1622,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0553.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0553.xml,box_outside_image_bounds,"[1750,1010,1868,1081]","clipped to frame [1750,1010,1868,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0554.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0554.xml,box_outside_image_bounds,"[1167,500,1901,1081]","clipped to frame [1167,500,1901,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0555.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0555.xml,box_outside_image_bounds,"[932,904,1457,1081]","clipped to frame [932,904,1457,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0555.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0555.xml,box_outside_image_bounds,"[1452,791,1628,1081]","clipped to frame [1452,791,1628,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0562.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0562.xml,box_outside_image_bounds,"[890,904,1487,1081]","clipped to frame [890,904,1487,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0563.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0563.xml,box_outside_image_bounds,"[17,744,1921,1079]","clipped to frame [17,744,1920,1079]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0563.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0563.xml,box_outside_image_bounds,"[1603,684,1921,787]","clipped to frame [1603,684,1920,787]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0567.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0567.xml,box_outside_image_bounds,"[915,894,1476,1081]","clipped to frame [915,894,1476,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0567.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0567.xml,box_outside_image_bounds,"[1468,788,1639,1081]","clipped to frame [1468,788,1639,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0568.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0568.xml,box_outside_image_bounds,"[8,720,1921,1078]","clipped to frame [8,720,1920,1078]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0571.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0571.xml,box_outside_image_bounds,"[1582,654,1921,762]","clipped to frame [1582,654,1920,762]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0574.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0574.xml,box_outside_image_bounds,"[1537,542,1921,744]","clipped to frame [1537,542,1920,744]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0576.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0576.xml,box_outside_image_bounds,"[949,900,1469,1081]","clipped to frame [949,900,1469,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0576.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0576.xml,box_outside_image_bounds,"[1449,790,1626,1081]","clipped to frame [1449,790,1626,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0577.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0577.xml,box_outside_image_bounds,"[1553,490,1921,636]","clipped to frame [1553,490,1920,636]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0577.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0577.xml,box_outside_image_bounds,"[6,551,1920,1081]","clipped to frame [6,551,1920,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0580.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0580.xml,box_outside_image_bounds,"[896,904,1483,1081]","clipped to frame [896,904,1483,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0580.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0580.xml,box_outside_image_bounds,"[1437,782,1624,1081]","clipped to frame [1437,782,1624,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0583.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0583.xml,box_outside_image_bounds,"[1676,492,1921,580]","clipped to frame [1676,492,1920,580]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0583.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0583.xml,box_outside_image_bounds,"[13,536,1921,1081]","clipped to frame [13,536,1920,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0587.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0587.xml,box_outside_image_bounds,"[1458,786,1649,1081]","clipped to frame [1458,786,1649,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0589.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0589.xml,box_outside_image_bounds,"[897,903,1468,1081]","clipped to frame [897,903,1468,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0589.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0589.xml,box_outside_image_bounds,"[1462,782,1642,1081]","clipped to frame [1462,782,1642,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0593.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0593.xml,box_outside_image_bounds,"[1738,136,1921,402]","clipped to frame [1738,136,1920,402]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0593.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0593.xml,box_outside_image_bounds,"[3,413,1918,1081]","clipped to frame [3,413,1918,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0595.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0595.xml,box_outside_image_bounds,"[7,394,1921,1079]","clipped to frame [7,394,1920,1079]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0597.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0597.xml,box_outside_image_bounds,"[882,912,1454,1081]","clipped to frame [882,912,1454,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0597.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0597.xml,box_outside_image_bounds,"[1452,786,1631,1081]","clipped to frame [1452,786,1631,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0622.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0622.xml,zero_area_box,"[166,425,166,429]",object rejected
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package2/JPEGImages/1769.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package2/Annotations/1769.xml,zero_area_box,"[181,982,181,994]",object rejected
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package2/JPEGImages/1821.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package2/Annotations/1821.xml,zero_area_box,"[1606,958,1606,959]",object rejected
